"","countrycode","year","gii","scenario"
"466","FJI",2002,0.450500959302535,"Observed"
"467","FRA",2002,0.0718244335973056,"Observed"
"468","GAB",2002,0.630576031280392,"Observed"
"469","GBR",2002,0.159996895114665,"Observed"
"470","GEO",2002,0.398523745029762,"Observed"
"471","GHA",2002,0.586137279666912,"Observed"
"472","GMB",2002,0.700454160087969,"Observed"
"473","GNB",2002,0.69905349292562,"Observed"
"474","GNQ",2002,0.691700765157099,"Observed"
"475","GRC",2002,0.143135510914435,"Observed"
"476","GTM",2002,0.570419661842242,"Observed"
"477","GUY",2002,0.559673062439429,"Observed"
"478","HND",2002,0.547812978473307,"Observed"
"479","HRV",2002,0.0980278869361526,"Observed"
"480","HTI",2002,0.623082341171974,"Observed"
"481","HUN",2002,0.227979965225075,"Observed"
"482","IDN",2002,0.56061816934527,"Observed"
"483","IND",2002,0.622923148169587,"Observed"
"484","IRL",2002,0.147010440924348,"Observed"
"485","IRN",2002,0.531796090383981,"Observed"
"486","IRQ",2002,0.634260005782104,"Observed"
"487","ISL",2002,0.0628561522959986,"Observed"
"488","ISR",2002,0.118959634131814,"Observed"
"489","ITA",2002,0.101727043821637,"Observed"
"490","JOR",2002,0.628424040148431,"Observed"
"491","JPN",2002,0.0897554561779207,"Observed"
"492","KAZ",2002,0.340603571110141,"Observed"
"493","KEN",2002,0.66572405948021,"Observed"
"494","KGZ",2002,0.405134268941128,"Observed"
"495","KHM",2002,0.578893952553779,"Observed"
"496","KOR",2002,0.0784616307644035,"Observed"
"497","KWT",2002,0.360911222235526,"Observed"
"498","LAO",2002,0.550211946387405,"Observed"
"499","LBN",2002,0.461005268571606,"Observed"
"500","LBR",2002,0.696061994182144,"Observed"
"501","LCA",2002,0.434188823749457,"Observed"
"502","LKA",2002,0.435377428831927,"Observed"
"503","LTU",2002,0.196924877934421,"Observed"
"504","LUX",2002,0.099553233858737,"Observed"
"505","LVA",2002,0.219197706657802,"Observed"
"506","MAR",2002,0.548121235303989,"Observed"
"507","MDA",2002,0.301540922545453,"Observed"
"508","MDV",2002,0.447419176368088,"Observed"
"509","MEX",2002,0.447709629134716,"Observed"
"510","MKD",2002,0.189071630614515,"Observed"
"511","MLI",2002,0.690204132836905,"Observed"
"512","MLT",2002,0.235809188557132,"Observed"
"513","MNG",2002,0.389519174626891,"Observed"
"514","MOZ",2002,0.611442941200311,"Observed"
"515","MUS",2002,0.448359289184115,"Observed"
"516","MWI",2002,0.662299951527502,"Observed"
"517","MYS",2002,0.271138111637777,"Observed"
"518","NAM",2002,0.522862307771045,"Observed"
"519","NER",2002,0.78034386858823,"Observed"
"520","NGA",2002,0.717469244671294,"Observed"
"521","NIC",2002,0.526177086148622,"Observed"
